run_id,imported_at,source_file,source_name,source_mtime,log_hash,record_type,seq,idx,lap,seg,phase,reason,t,t_start,t_end,dist,yaw,yaw_start,yaw_end,yprog,end_herr,avg_herr,max_herr,avg_gz,max_gz,avg_gzlp,max_gzlp,n,nav_n,nav_lost,nav_fd,nav_stale,upd,lost,avg_turn,avg_abs_err,max_err,pmask,raw_record
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,103,0,0,AC,0,point,0/1680,0,1680,8700,474/366,474,366,108,-108,202,407,-13,443,-9,388,84,84,0,522,0,0x07,0,1,222,2000,0x06,TASK11_SUM seq=103 idx=0 lap=0 seg=AC phase=0 reason=point t=0/1680 dist=8700 n=84 nav_n=84 nav_lost=0 nav_fd=522 nav_stale=0 upd=0x07 lost=0 yaw=474/366 yprog=108 end_herr=-108 avg_herr=202 max_herr=407 avg_gz=-13 max_gz=443 avg_gzlp=-9 max_gzlp=388 avg_turn=1 avg_abs_err=222 max_err=2000 pmask=0x06
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,104,1,0,CB,1,point,1680/3060,1680,3060,6969,3661/-16843,3661,-16843,15496,370,602,2154,1069,2824,1100,2714,69,69,0,429,0,0x07,0,-4,702,3000,0x1E,TASK11_SUM seq=104 idx=1 lap=0 seg=CB phase=1 reason=point t=1680/3060 dist=6969 n=69 nav_n=69 nav_lost=0 nav_fd=429 nav_stale=0 upd=0x07 lost=0 yaw=3661/-16843 yprog=15496 end_herr=370 avg_herr=602 max_herr=2154 avg_gz=1069 max_gz=2824 avg_gzlp=1100 max_gzlp=2714 avg_turn=-4 avg_abs_err=702 max_err=3000 pmask=0x1E
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,105,2,0,BD,2,point,3060/4600,3060,4600,8131,-12557/-10228,-12557,-10228,2329,2329,2144,2628,131,2727,177,2589,77,77,0,480,0,0x07,0,29,798,3500,0xE0,TASK11_SUM seq=105 idx=2 lap=0 seg=BD phase=2 reason=point t=3060/4600 dist=8131 n=77 nav_n=77 nav_lost=0 nav_fd=480 nav_stale=0 upd=0x07 lost=0 yaw=-12557/-10228 yprog=2329 end_herr=2329 avg_herr=2144 max_herr=2628 avg_gz=131 max_gz=2727 avg_gzlp=177 max_gzlp=2589 avg_turn=29 avg_abs_err=798 max_err=3500 pmask=0xE0
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,106,3,0,DA,3,point,4600/5980,4600,5980,7002,-13708/6885,-13708,6885,15407,-210,466,1810,-1088,2875,-1099,2714,69,69,0,429,0,0x07,0,15,565,2000,0x78,TASK11_SUM seq=106 idx=3 lap=0 seg=DA phase=3 reason=point t=4600/5980 dist=7002 n=69 nav_n=69 nav_lost=0 nav_fd=429 nav_stale=0 upd=0x07 lost=0 yaw=-13708/6885 yprog=15407 end_herr=-210 avg_herr=466 max_herr=1810 avg_gz=-1088 max_gz=2875 avg_gzlp=-1099 max_gzlp=2714 avg_turn=15 avg_abs_err=565 max_err=2000 pmask=0x78
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,107,4,1,AC,0,point,5980/7500,5980,7500,8032,2266/189,2266,189,2077,-2077,1907,2278,-134,2811,-168,2662,76,76,0,474,0,0x07,0,-8,493,2500,0x06,TASK11_SUM seq=107 idx=4 lap=1 seg=AC phase=0 reason=point t=5980/7500 dist=8032 n=76 nav_n=76 nav_lost=0 nav_fd=474 nav_stale=0 upd=0x07 lost=0 yaw=2266/189 yprog=2077 end_herr=-2077 avg_herr=1907 max_herr=2278 avg_gz=-134 max_gz=2811 avg_gzlp=-168 max_gzlp=2662 avg_turn=-8 avg_abs_err=493 max_err=2500 pmask=0x06
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,108,5,1,CB,1,point,7500/8900,7500,8900,7100,3688/-16702,3688,-16702,15610,200,387,1861,1055,2810,1096,2693,70,70,0,435,0,0x07,0,-1,807,3000,0x0E,TASK11_SUM seq=108 idx=5 lap=1 seg=CB phase=1 reason=point t=7500/8900 dist=7100 n=70 nav_n=70 nav_lost=0 nav_fd=435 nav_stale=0 upd=0x07 lost=0 yaw=3688/-16702 yprog=15610 end_herr=200 avg_herr=387 max_herr=1861 avg_gz=1055 max_gz=2810 avg_gzlp=1096 max_gzlp=2693 avg_turn=-1 avg_abs_err=807 max_err=3000 pmask=0x0E
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,109,6,1,BD,2,point,8900/10440,8900,10440,8142,-12262/-10181,-12262,-10181,2081,2081,1864,2412,106,2766,170,2596,77,77,0,480,0,0x07,0,33,948,3500,0xE0,TASK11_SUM seq=109 idx=6 lap=1 seg=BD phase=2 reason=point t=8900/10440 dist=8142 n=77 nav_n=77 nav_lost=0 nav_fd=480 nav_stale=0 upd=0x07 lost=0 yaw=-12262/-10181 yprog=2081 end_herr=2081 avg_herr=1864 max_herr=2412 avg_gz=106 max_gz=2766 avg_gzlp=170 max_gzlp=2596 avg_turn=33 avg_abs_err=948 max_err=3500 pmask=0xE0
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,110,7,1,DA,3,point,10440/11840,10440,11840,7113,-13719/6458,-13719,6458,15823,-385,460,1741,-1098,2868,-1118,2719,70,70,0,435,0,0x07,0,15,557,2500,0xE0,TASK11_SUM seq=110 idx=7 lap=1 seg=DA phase=3 reason=point t=10440/11840 dist=7113 n=70 nav_n=70 nav_lost=0 nav_fd=435 nav_stale=0 upd=0x07 lost=0 yaw=-13719/6458 yprog=15823 end_herr=-385 avg_herr=460 max_herr=1741 avg_gz=-1098 max_gz=2868 avg_gzlp=-1118 max_gzlp=2719 avg_turn=15 avg_abs_err=557 max_err=2500 pmask=0xE0
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,111,8,2,AC,0,point,11840/13360,11840,13360,8070,2254/30,2254,30,2224,-2224,1952,2303,-155,2770,-189,2669,76,76,0,474,0,0x07,0,-10,519,3000,0x03,TASK11_SUM seq=111 idx=8 lap=2 seg=AC phase=0 reason=point t=11840/13360 dist=8070 n=76 nav_n=76 nav_lost=0 nav_fd=474 nav_stale=0 upd=0x07 lost=0 yaw=2254/30 yprog=2224 end_herr=-2224 avg_herr=1952 max_herr=2303 avg_gz=-155 max_gz=2770 avg_gzlp=-189 max_gzlp=2669 avg_turn=-10 avg_abs_err=519 max_err=3000 pmask=0x03
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,TASK11_SUM,112,9,2,CB,1,point,13360/14740,13360,14740,6993,4291/-16659,4291,-16659,15050,-128,527,1809,1023,2838,1070,2732,69,69,0,429,0,0x07,0,2,862,3500,0x0E,TASK11_SUM seq=112 idx=9 lap=2 seg=CB phase=1 reason=point t=13360/14740 dist=6993 n=69 nav_n=69 nav_lost=0 nav_fd=429 nav_stale=0 upd=0x07 lost=0 yaw=4291/-16659 yprog=15050 end_herr=-128 avg_herr=527 max_herr=1809 avg_gz=1023 max_gz=2838 avg_gzlp=1070 max_gzlp=2732 avg_turn=2 avg_abs_err=862 max_err=3500 pmask=0x0E
