run_id,imported_at,source_file,log_hash,lap,seg,phase,phase_dist,turn_t_start,turn_t_stop,yaw_before,yaw_after,yaw_delta,turn_dist,stop_reason,stop_mask,stop_err,motor_b_total,motor_a_total,source_mtime,source_name
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,0,AC,0,8840,1800,1980,-3272,-442,2830,471,point,0x06,-2000,136,807,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,0,CB,1,7144,3200,3380,16687,-16315,2998,467,point,0x04,-1500,112,823,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,0,BD,2,8047,4720,4920,-13993,-17101,-3108,525,point,0x60,2000,900,151,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,0,DA,3,7014,6100,6280,1835,-1105,-2940,469,point,0x10,500,818,121,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,1,AC,0,8034,7620,7820,-3407,-258,3149,518,point,0x06,-2000,130,907,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,1,CB,1,7052,9000,9180,16602,-16278,3120,471,point,0x0C,-1000,116,827,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,1,BD,2,8049,10520,10720,-14228,-17277,-3049,520,point,0x30,1000,895,146,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,1,DA,3,7021,11900,12080,1865,-1010,-2875,475,point,0x30,1000,819,131,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,2,AC,0,8081,13420,13620,-3307,135,3442,522,point,0x06,-2000,132,913,2026-06-06T22:53:10,run02.txt
task11_72ed1b5ebe46,2026-06-06T23:04:25,C:\Users\orang\Desktop\run02.txt,72ed1b5ebe46,2,CB,1,7049,14800,14980,16721,-16147,3132,475,point,0x0C,-1000,119,832,2026-06-06T22:53:10,run02.txt
