distance_cm,sample_index,frame_scale,provisional_distance_cm,component_scale_1,component_scale_2,scale_spread_pct,center_shift_ratio,measurement_attempts,total_ms,coarse_ms,convert_ms,refine_ms,mode_1,mode_2,demoted_1,demoted_2,inner_rms_1,inner_rms_2,ring_inside_1,ring_inside_2,ring_outside_1,ring_outside_2
100.0,1,11.464410,99.208252,11.442642,11.486177,0.379742,0.005699,2,1585,985,50,458,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.711791,0.618616,1.000000,1.000000,0.687500,0.718750
100.0,2,11.470882,99.143768,11.461323,11.480441,0.166668,0.002633,2,699,0,52,546,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.647028,0.670067,1.000000,1.000000,0.687500,0.687500
100.0,3,11.458945,99.262756,11.442487,11.475404,0.287260,0.004466,2,976,0,52,787,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.547074,0.730330,1.000000,1.000000,0.718750,0.687500
100.0,4,11.458282,99.269363,11.463552,11.453013,0.091978,0.001505,2,698,0,51,548,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.692787,0.684861,1.000000,1.000000,0.687500,0.687500
100.0,5,11.455540,99.296745,11.445320,11.465760,0.178430,0.003012,2,735,0,51,550,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.655455,0.943185,1.000000,1.000000,0.687500,0.687500
105.0,1,11.000000,104.033218,11.001386,10.998615,0.025186,0.000348,3,2333,762,77,1326,HIGH_RES_INNER,HIGH_RES_PAIR,1,0,0.329743,0.490838,1.000000,1.000000,0.718750,0.750000
105.0,2,10.999426,104.039429,11.001081,10.997770,0.030094,0.000526,2,1293,0,52,1134,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.320319,0.135569,1.000000,1.000000,0.750000,0.718750
105.0,3,10.997395,104.061432,10.998526,10.996263,0.020578,0.000127,2,975,0,50,816,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.468767,0.413332,1.000000,1.000000,0.718750,0.718750
105.0,4,10.991890,104.121094,10.991427,10.992352,0.008407,0.000089,2,1010,0,52,819,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.415317,0.382593,1.000000,1.000000,0.687500,0.750000
105.0,5,11.001481,104.017181,11.002364,11.000598,0.016054,0.000219,2,976,0,54,815,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.387230,0.399520,1.000000,1.000000,0.718750,0.718750
110.0,1,10.507847,109.611885,10.510508,10.505185,0.050652,0.000208,4,3392,1580,79,1487,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.461438,0.477157,1.000000,1.000000,0.750000,0.750000
110.0,2,10.505850,109.635582,10.504510,10.507189,0.025499,0.000324,2,878,0,52,762,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.523016,0.424514,1.000000,1.000000,0.750000,0.750000
110.0,3,10.507906,109.611183,10.507544,10.508268,0.006898,0.000153,2,917,0,53,765,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.303772,0.429654,1.000000,1.000000,0.750000,0.750000
110.0,4,10.507326,109.618065,10.506359,10.508294,0.018416,0.000197,2,948,0,50,764,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.470176,0.523783,1.000000,1.000000,0.750000,0.750000
110.0,5,10.508788,109.600716,10.508820,10.508757,0.000599,0.000050,2,766,0,51,545,HIGH_RES_INNER,HIGH_RES_PAIR,1,0,0.411593,0.436860,1.000000,1.000000,0.750000,0.750000
115.0,1,10.064770,114.477173,10.066957,10.062583,0.043454,0.000296,3,2150,0,77,1936,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.340254,0.438325,1.000000,1.000000,0.718750,0.718750
115.0,2,10.064692,114.478043,10.067567,10.061818,0.057118,0.000798,2,877,0,53,759,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.541802,0.489735,1.000000,1.000000,0.718750,0.718750
115.0,3,10.069414,114.424469,10.074472,10.064357,0.100459,0.001489,2,912,0,52,756,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.215067,0.424564,1.000000,1.000000,0.687500,0.687500
115.0,4,10.064675,114.478241,10.063251,10.066100,0.028313,0.000472,2,876,0,51,758,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.429336,0.303662,1.000000,1.000000,0.718750,0.718750
115.0,5,10.068264,114.437523,10.069140,10.067389,0.017400,0.000123,2,912,0,50,761,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.292552,0.374560,1.000000,1.000000,0.718750,0.750000
120.0,1,9.644004,119.462204,9.640466,9.647542,0.073375,0.000956,3,2413,780,76,1407,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.543934,0.410179,1.000000,1.000000,0.750000,0.750000
120.0,2,9.648285,119.409294,9.649148,9.647421,0.017901,0.000738,2,852,0,51,704,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.383990,0.314092,1.000000,1.000000,0.781250,0.718750
120.0,3,9.647416,119.420029,9.648172,9.646660,0.015678,0.000592,2,891,0,52,707,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.494630,0.353653,1.000000,1.000000,0.750000,0.718750
120.0,4,9.645127,119.448318,9.649140,9.641114,0.083214,0.000983,2,854,0,52,709,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.378255,0.370369,1.000000,1.000000,0.718750,0.687500
120.0,5,9.646990,119.425301,9.646929,9.647051,0.001265,0.000130,2,889,0,52,709,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.374692,0.380989,1.000000,1.000000,0.718750,0.750000
125.0,1,9.234866,124.888229,9.236256,9.233477,0.030093,0.000437,3,2125,585,79,1322,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.390309,0.286199,1.000000,1.000000,0.750000,0.750000
125.0,2,9.241673,124.793739,9.242730,9.240617,0.022868,0.000134,2,848,0,54,699,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.221273,0.247668,1.000000,1.000000,0.750000,0.750000
125.0,3,9.238840,124.833054,9.232671,9.245010,0.133562,0.002033,2,886,0,52,700,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.259255,0.256783,1.000000,1.000000,0.750000,0.750000
125.0,4,9.237811,124.847336,9.242416,9.233206,0.099705,0.001379,2,846,0,51,696,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.323113,0.327660,1.000000,1.000000,0.718750,0.750000
125.0,5,9.240335,124.812302,9.241109,9.239561,0.016751,0.000092,2,885,0,51,699,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.169685,0.268711,1.000000,1.000000,0.750000,0.750000
130.0,1,8.906517,129.617493,8.911588,8.901446,0.113865,0.003840,2,969,0,53,825,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.194407,0.529863,1.000000,1.000000,0.750000,0.750000
130.0,2,8.896790,129.762924,8.895219,8.898360,0.035309,0.000472,2,1005,0,52,802,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.378815,0.349497,1.000000,1.000000,0.750000,0.750000
130.0,3,8.896135,129.772720,8.892590,8.899681,0.079715,0.001167,2,967,0,51,801,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.237566,0.448301,1.000000,1.000000,0.750000,0.750000
130.0,4,8.893721,129.808868,8.896786,8.890656,0.068917,0.000858,2,1004,0,51,802,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.395007,0.299222,1.000000,1.000000,0.750000,0.750000
130.0,5,8.893564,129.811218,8.890518,8.896610,0.068500,0.000959,2,967,0,52,799,HIGH_RES_PAIR,HIGH_RES_PAIR,0,0,0.543900,0.329078,1.000000,1.000000,0.750000,0.750000
135.0,1,8.591844,134.185455,8.603373,8.580315,0.268370,0.003948,2,928,0,49,728,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.171749,0.272508,1.000000,1.000000,0.750000,0.750000
135.0,2,8.583822,134.305588,8.584863,8.582781,0.024253,0.000441,2,822,0,52,649,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.186040,0.207512,1.000000,1.000000,0.750000,0.718750
135.0,3,8.582919,134.319122,8.585821,8.580017,0.067623,0.001018,2,858,0,53,649,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.166123,0.229932,1.000000,1.000000,0.718750,0.750000
135.0,4,8.583911,134.304260,8.584398,8.583424,0.011354,0.000060,2,821,0,52,647,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.181069,0.200987,1.000000,1.000000,0.750000,0.750000
135.0,5,8.582876,134.319778,8.581956,8.583797,0.021445,0.000158,2,857,0,51,652,HIGH_RES_INNER,HIGH_RES_INNER,1,1,0.213164,0.232287,1.000000,1.000000,0.718750,0.750000
