distance_cm,frame_scale,source
100.0,10.783195,EXTRAPOLATED_FROM_110_120
105.0,10.307374,EXTRAPOLATED_FROM_110_120
110.0,9.871771,MEASURED_measure_225
115.0,9.471493,INTERPOLATED_110_120
120.0,9.102411,MEASURED_measure_226
125.0,8.769537,INTERPOLATED_120_130
130.0,8.460150,MEASURED_measure_227
135.0,8.165320,INTERPOLATED_130_140
140.0,7.890348,MEASURED_measure_228
145.0,7.626735,INTERPOLATED_140_150
150.0,7.380167,MEASURED_measure_229
155.0,7.146226,INTERPOLATED_150_160
160.0,6.926661,MEASURED_measure_230
165.0,6.732378,INTERPOLATED_160_170
170.0,6.548696,MEASURED_measure_231
175.0,6.379375,INTERPOLATED_170_180
180.0,6.218590,MEASURED_measure_232
185.0,6.058420,INTERPOLATED_180_190
190.0,5.906293,MEASURED_measure_233
195.0,5.761619,EXTRAPOLATED_FROM_180_190
200.0,5.623863,EXTRAPOLATED_FROM_180_190
