run_id,imported_at,source_file,log_hash,lap,seg,phase,phase_dist,turn_t_start,turn_t_stop,yaw_before,yaw_after,yaw_delta,yaw_target,yaw_error_after,yaw_stop_enabled,turn_dist,stop_reason,stop_mask,stop_err,motor_b_total,motor_a_total,source_mtime,source_name
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,0,AC,0,7409,1245,1265,-3209,-3201,8,0,0,0,92,point,0x1E,-1000,74,110,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,0,CB,1,7511,2765,3025,17177,-14223,4600,-14290,67,1,712,yaw,0x00,0,288,1137,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,0,BD,2,7511,3025,3225,-14133,-17190,-3057,-17133,-57,1,803,yaw,0x00,0,1353,253,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,0,DA,3,7785,5315,5555,970,-3357,-4327,-3250,-107,1,668,yaw,0x00,0,1068,269,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,1,AC,0,7401,6315,6555,-3193,-660,2533,0,0,0,742,point,0x06,-2000,437,1047,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,1,CB,1,7156,7775,8035,17269,-14096,4635,-14290,194,1,708,yaw,0x00,500,287,1130,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,1,BD,2,7156,8035,8255,-14224,-17569,-3345,-17224,-345,1,869,yaw,0x00,500,1484,255,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,1,DA,3,7690,10310,10570,1137,-3409,-4546,-3250,-159,1,710,yaw,0x00,-500,1142,278,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,2,AC,0,7406,11310,11530,-3122,-829,2137,0,0,0,692,point,0x06,-2000,418,967,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,2,CB,1,7219,12785,13045,17139,-14153,4708,-14290,137,1,709,yaw,0x00,500,278,1140,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,2,BD,2,7219,13045,13245,-14159,-17169,-3010,-17159,-10,1,803,yaw,0x00,500,1348,259,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,2,DA,3,7938,15365,15605,1008,-3321,-4329,-3250,-71,1,664,yaw,0x00,0,1065,263,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,3,AC,0,7533,16380,16620,-3156,-728,2428,0,0,0,734,point,0x06,-2000,429,1039,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,3,CB,1,7081,17825,18085,17134,-14256,4610,-14290,34,1,711,yaw,0x00,500,282,1140,2026-06-18T16:33:50,result.txt
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,672cd7a36e2c,3,BD,2,7081,18085,18305,-14204,-17517,-3313,-17204,-313,1,880,yaw,0x00,500,1479,281,2026-06-18T16:33:50,result.txt
